Id,Creation Time,Monitoring Time,test/bleu,test/chrf,test/rouge-l-f,val/bleu (max),val/chrf (max),val/rouge-l-f (max),raw_model
DAT-44,2023-03-08 18:31:09,5289,,,,0.0273425918520752,0.3048232602415147,0.19049805517794113,IlyaGusev/rugpt3medium_sum_gazeta
DAT-42,2023-02-25 01:12:02,2475,0.19051190197871135,0.47252523890264553,0.3527298749257555,0.19451018863675754,0.4721406935752897,0.3591078847684803,IlyaGusev/rubert_telegram_headlines
DAT-41,2023-02-25 01:00:44,595,,,,0.10444485192185018,0.36971686586652486,0.2657684491229154,IlyaGusev/rubert_telegram_headlines
DAT-40,2023-02-25 00:52:31,224,,,,1.5981219278787606E-12,4.3519106683310017E-4,0.0014748679021645075,IlyaGusev/rubert_telegram_headlines
DAT-39,2023-02-24 23:44:16,2542,0.17343482329180968,0.48308006732190995,0.3453465540931426,0.18588441884959855,0.46121546614485415,0.3577934970434234,IlyaGusev/rubert_telegram_headlines
DAT-38,2023-02-24 23:35:20,416,,,,4.5298046668169125E-4,0.027304663995314823,0.0703117045474201,IlyaGusev/rubert_telegram_headlines
DAT-37,2023-02-24 22:21:22,2176,0.14192016277141256,0.3710894381513275,0.2877981833071794,0.1054083176220433,0.32734165070681853,0.26212614983370985,IlyaGusev/rubert_telegram_headlines
DAT-33,2023-02-20 23:09:23,2308,0.1866454480111525,0.4658458573356374,0.363037152073749,0.19472740171507985,0.47673914935055667,0.3861209901918233,cointegrated/rut5-base-multitask
DAT-32,2023-02-20 23:01:18,248,,,,7.147710973437807E-5,0.10740261911189264,0.018207957106012335,cointegrated/rut5-base-multitask
DAT-31,2023-02-20 22:49:15,1007,,,,0.09684720935579855,0.38047884847971547,0.24733836358511385,cointegrated/rut5-base-multitask
DAT-30,2023-02-20 22:41:41,283,,,,6.386738880272648E-5,0.0740031947350503,0.049675822938847695,cointegrated/rut5-base-multitask
DAT-29,2023-02-20 00:59:40,2358,0.1731788566473428,0.4547507745133649,0.3523443577937603,0.18491473587814733,0.462080785955106,0.3669122747442256,cointegrated/rut5-base-multitask
DAT-28,2023-02-20 00:15:29,2380,0.17168787854686196,0.4522783457975747,0.35356420123279264,0.1850428482861937,0.46545675604717607,0.37292574499398357,cointegrated/rut5-base-multitask
DAT-27,2023-02-19 23:58:37,616,,,,0.08260093000640274,0.3906652859812023,0.23732268651744529,cointegrated/rut5-base-multitask
DAT-26,2023-02-19 22:59:50,2464,0.17005205429431822,0.44802755905497615,0.338943390659909,0.18964753869773085,0.46054742352174705,0.35426336835828887,cointegrated/rut5-base-multitask
DAT-23,2023-02-19 20:43:02,4336,0.17729138823859258,0.4566964104041288,0.36236496235984705,0.19320543234418203,0.46984719572553063,0.3700652203740172,cointegrated/rut5-base-multitask
DAT-18,2023-02-19 18:08:13,4539,0.17788572457799923,0.4629896489707482,0.356705378069266,0.19124830931741174,0.48173507725554604,0.37560107900073764,cointegrated/rut5-base-multitask
DAT-17,2023-02-19 17:41:35,1407,0.03048755087025935,0.2618525134594244,0.13976862333986334,0.024434816270213326,0.25987768427553143,0.1321251814119219,cointegrated/rut5-base-multitask
DAT-16,2023-02-19 17:30:26,615,,,,0.15699613890601696,0.4339551871403227,0.3275128843274085,cointegrated/rut5-base-multitask
